session_id,nb_idles,nb_responses,nb_correct,nb_help,taux_reussite,temps_moyen_reponse,duree_secondes,nb_interactions,score_engagement,etat_affectif
4aa91776-29f7-4a59-a876-880e832baad9,0,5,4,2,0.8,9.2,52,6,0.95,neutre
69563b58-fd7e-426e-94f0-209ec081740e,0,6,6,0,1.0,136.8,446,38,0.609,neutre
b40798ef-b54e-4ac9-92e7-fd577e2fe282,0,3,2,2,0.667,15.0,82,44,0.34,engagement_faible
d0fdb68b-af47-42a9-8e2f-05476cc648d1,0,4,0,0,0.0,8.8,47,20,0.719,neutre
738fd4a4-6779-467b-a366-20968d5b37ab,0,3,3,0,1.0,3.0,13,6,0.829,engagement_eleve
1c6e880c-f49f-4bba-bb17-46cadca97fcd,0,5,5,0,1.0,3.0,19,11,0.905,engagement_eleve
f0a4a5b1-1aab-4a0a-951f-2da5249ab295,0,3,1,1,0.333,35.3,151,100,0.0,engagement_faible
a063d4d5-7c44-419c-b986-81967e0d67a7,0,4,4,0,1.0,417.2,853,28,0.611,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,0,5,4,3,0.8,15.0,101,54,0.714,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,0,3,1,2,0.333,17.0,64,35,0.411,ennui
8842e640-013d-4cf1-9278-c25fe7361fc0,0,5,3,2,0.6,16.2,95,49,0.206,engagement_faible
63f27e8a-7319-4e8c-86ed-a9733830f771,0,6,3,0,0.5,55.7,124,65,0.429,ennui
5a144fce-33e1-4ce8-b6b5-23947b7396e6,0,3,1,0,0.333,14.7,62,14,0.346,engagement_faible
ad81bd40-ea3c-425e-90a8-26946fd0857d,0,5,4,0,0.8,12.8,85,34,0.6,neutre
7a85cf87-810f-487b-9098-3a57b1d3bdeb,0,5,3,0,0.6,21.8,109,5,0.62,neutre
40d53698-a577-4c93-8aee-daf21b87faa1,0,0,0,0,0,0,6,0,0.5,neutre
ff2a0e6f-a40b-4677-a77a-6e745ca4a811,0,0,0,0,0,0,4,0,0.5,neutre
0c7c479f-35e7-4457-9c49-61c369cc869f,0,1,0,0,0.0,16.0,35,2,0.44,neutre
ce03fbd4-375c-4d7f-aa92-dacd21b217df,0,1,0,0,0.0,39.0,45,2,0.44,neutre
6557e6dc-fc1f-4c37-91b9-7b7d7d659d60,0,2,0,0,0.0,14.5,61,3,0.38,engagement_faible
ca40c863-f6b7-4a18-939f-cf09afce65e3,0,4,1,0,0.25,23.8,121,57,0.446,neutre
4acabd82-833e-4ef3-8da3-85df1e631d62,0,7,1,2,0.143,37.4,329,162,0.336,engagement_faible
e95c90b4-2aaf-47d5-bcae-185525e09b44,0,11,6,0,0.545,14.6,227,52,0.771,neutre
31f1892e-e45c-4983-82b7-0ff9c8162fa3,0,1,0,0,0.0,21.0,34,10,0.403,neutre
19483428-0eb2-409c-89c1-da21a9b7a3ef,0,0,0,0,0,0,3,0,0.5,neutre
23b6b166-1ad5-41ae-a878-63c0e9448eb2,0,0,0,0,0,0,4,0,0.5,neutre
a76accab-1b6d-4f4f-a06a-e0a621d19864,0,0,0,0,0,0,6,0,0.5,neutre
7a44e8ab-ddb9-435b-8cfa-8068c6f19f02,0,0,0,0,0,0,5,0,0.5,neutre
eeaa2f36-1707-435d-a723-d296a1270e7a,1,18,14,0,0.778,14.3,344,189,0.783,engagement_eleve
7c4ac2fe-2f4e-4e4c-80e6-484c5e1fe844,0,0,0,0,0,0,8,0,0.5,neutre
0163acf4-e3f0-450b-a476-523ba04d66a5,0,6,0,0,0.0,19.2,168,90,0.277,engagement_faible
d1d5f76b-1a6e-4d62-8ba9-e124aa24f855,0,0,0,0,0,0,6,0,0.5,neutre
70092faf-77af-4fda-80dc-b5c2f679a651,0,0,0,0,0,0,15,1,0.5,neutre
e4bf540e-96a0-4cb3-af68-10606964642d,1,3,0,0,0.0,24.7,94,27,0.269,engagement_faible
e7543548-6c21-499e-8dbd-ae6ef0b2a850,0,0,0,0,0,0,22,1,0.5,neutre
db979824-d808-4db3-80d4-9329e55246ff,0,6,0,0,0.0,13.0,112,39,0.14,engagement_faible
ffeba470-b002-4150-b831-c1326da20812,1,19,16,0,0.842,13.3,396,216,0.714,engagement_eleve
28b61e59-ee12-49c3-b8c3-aa28003c99ec,0,1,0,0,0.0,21.0,28,2,0.44,neutre
3f8e547e-7e23-4019-9000-1bb714e06e64,0,1,0,0,0.0,7.0,13,1,0.44,neutre
674bba0b-bc8d-469b-92e7-5504f8038840,1,3,1,0,0.333,15.7,143,70,0.34,engagement_faible
aea87a0e-61fa-4051-a7ab-0ecea54ea92c,0,1,0,0,0.0,10.0,18,4,0.474,neutre
d406b908-a356-47c0-9716-5cea7a362d7c,4,9,4,0,0.444,42.7,535,280,0.401,ennui
